Date,Volume,Close,Average
17/07/2018,18900,3485,3487.672
18/07/2018,7800,3505,3511.667
19/07/2018,10100,3505,3506.832
20/07/2018,13600,3535,3530.404
23/07/2018,26200,3530,3545.859
24/07/2018,19500,3565,3578.462
25/07/2018,11500,3570,3576.174
26/07/2018,11500,3590,3595.739
27/07/2018,10500,3585,3590.762
30/07/2018,10300,3570,3565.534
31/07/2018,33600,3480,3504.256
01/08/2018,22800,3470,3485.461
02/08/2018,13500,3435,3452.407
03/08/2018,61700,3260,3307.293
06/08/2018,22800,3265,3262.04
07/08/2018,33300,3405,3351.336
08/08/2018,24700,3315,3344.96
09/08/2018,15000,3300,3294.967
10/08/2018,20500,3290,3295.39
13/08/2018,29600,3240,3250.574
14/08/2018,12800,3295,3284.922
15/08/2018,8100,3275,3280.124
